DIAL_DIGIT_KEY,EVENT_DIRECTION_KEY,SDCA_LOCATION_CODE,TARGET_REGION_DESC,TARGET_COUNTRY_CODE,TARGET_COUNTRY_DESC,LDCA_NAME,SDCA_NAME,LDCC_X_COORD,LDCC_Y_COORD,CDSS_X_COORD,CDSS_Y_COORD,ISO_COUNTRY_CODE,RATE_CALSS,DIAL_DIGIT_DESC,PREFIX_IND,LIST_TYPE_ID_KEY,HOTLIST_IND,TEST_EVENT_IND,EVENT_CATEGORY_KEY,DM_IND,EVENT_TYPE_KEY,LENGTH,PROVIDER_DESC,BU_KEY,NOP_ID_KEY,FORCE_RI_IND,POPULATION_DATE_TIME,UPDATE_DATE_TIME
2491443,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,ISYSSHARJAH TV VOTING,1,125,9,02/24/2009 11:26:46,
2491444,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,SOCCER NEWSPAPER  || soccer news,1,125,9,02/24/2009 11:26:46,
2491445,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,ISYSSHARJAH TV CHATTING,1,125,9,02/24/2009 11:26:46,
2491446,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,ISYSTAKARUB SERVICE,1,125,9,02/24/2009 11:26:46,
2491447,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,ISYSAL-MADINA TV ,1,125,9,02/24/2009 11:26:46,
2491448,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,ISYSM-LIVE ,1,125,9,02/24/2009 11:26:46,
2491449,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,ISYSMIX TV,1,125,9,02/24/2009 11:26:46,
2491450,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,ISYSAL TEJARIAH TV ,1,125,9,02/24/2009 11:26:46,
2491451,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,ISYSAL ANWAR TV ,1,125,9,02/24/2009 11:26:46,
2491452,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,ISYSZOAL TV,1,125,9,02/24/2009 11:26:46,
2491455,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,ISYSOSCAR TV ,1,125,9,02/24/2009 11:26:46,
2491456,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,ISYSW TV ,1,125,9,02/24/2009 11:26:46,
2491457,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,ISYSSPACETOON,1,125,9,02/24/2009 11:26:46,
2491458,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,ISYSDR. JAMEEL ,1,125,9,02/24/2009 11:26:46,
2491459,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,ISYSSUDANESE WOMEN SERVICE,1,125,9,02/24/2009 11:26:46,
2491460,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,ISYSARAB TV ,1,125,9,02/24/2009 11:26:46,
2491488,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,ISYSAL-ARABIA,1,125,9,02/24/2009 11:26:46,
2491489,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,ISYSALARABYIA LOCAL NEWS,1,125,9,02/24/2009 11:26:46,
2491515,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,ALHELAL  || sports news,1,125,9,02/24/2009 11:26:46,
2491516,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,ALMARIEKH  || sports news,1,125,9,02/24/2009 11:26:46,
2491517,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,ALMAJAZ  || tv chat (rotana channels),1,125,9,02/24/2009 11:26:46,
2491520,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,ALMAJAZ  || tv chat (rotana channels),1,125,9,02/24/2009 11:26:46,
2491521,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,ALMAJAZ  || tv chat (rotana channels),1,125,9,02/24/2009 11:26:46,
2491522,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,GISR SOFEYAT,1,125,9,02/24/2009 11:26:46,
2491523,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,GISR KATMIA PULLBIL(SOFIYAT),1,125,9,02/24/2009 11:26:46,
2491524,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,GISR ALANSAR PULLBIL(SOFIYAT),1,125,9,02/24/2009 11:26:46,
